S.No.,TempleID,TempleName,Address,City,District,ZipCode,Latitude,Longitude
1,TM000001,Shri Doddaganapathi Temple,Basavanagudi,Bengaluru,Bengaluru Urban,560004,12.9428106,77.5681075
2,TM000002,Sri Siddalingeshwaraswamy Shrine,Yedeyur,Tumakuru,Tumakuru,572142,12.9721231,76.8630104
3,TM000003,Shri Channakeshava Swami Temple,Belur Town,Belur,Hassan,573115,13.1623166,75.8679195
4,TM000004,Shri Bhagyavanti Temple,Ghattarga,Kalaburgi,Kalaburagi,585301,17.0928563,76.4104335
5,TM000005,Sri Prasanna Veeranjaneya Swamy Temple,Mahalakshmipura,Bengaluru,Bengaluru Urban,560086,13.0091655,77.5466893
6,TM000006,Sri Kabbalamma Temple,Kabbalu,Kanakapura,Ramanagara,562126,12.5016713,77.3036701
7,TM000007,Sri Srikanteshwara Swamy Temple,Rastrapathi Road,Nanjangudu,Mysuru,571301,12.1188889,76.6927778
8,TM000008,Sri Vinayaka Swamy Temple,Jayanagar 4Th Block,Bengaluru,Bengaluru Urban,560011,12.9259401,77.5830419
9,TM000009,Sri Kalika Durga Parmeshwari Temple,Durga Layout,Vidyaranyapura,Bengaluru Urban,560097,13.0781881,77.5628375
10,TM000010,Sri Gavigangadhareshwara Swamy Temple,Gavipuram Road,Bengaluru Town,Bengaluru Urban,560019,12.9464492,77.5597925
11,TM000011,Sri Vasantavallabharayaswamy Temple,Vasantapur,Bengaluru South,Bengaluru Urban,560061,12.895444,77.5517942
12,TM000012,Sri Gundanjaneya Swamy Temple,Kodigehalli Gate,Yelahanka,Bengaluru Urban,560092,13.0580165,77.5901454
13,TM000013,Kote Sri Venkateshwara Swamy Temple,K R Road,Bengaluru South,Bengaluru Urban,560018,12.9425631,77.5739195
14,TM000014,Sri Kumaraswamy Temple,50Feet Road,Bengaluru South,Bengaluru Urban,560019,12.9402061,77.5625677
15,TM000015,Sri Someshwara Swamy Temple,Halasuru,Bangalore North,Bengaluru Urban,560008,12.9755805,77.6240616
